sku_id,date,comp_price
100000,5/16/2025,23.82
100001,5/16/2025,66.46
100002,5/16/2025,18.47
100003,5/16/2025,39.53
100004,5/16/2025,80.02
100005,5/16/2025,15.69
100006,5/16/2025,76.51
100007,5/16/2025,33.53
100008,5/16/2025,21.4
100009,5/16/2025,81.41
100010,5/16/2025,65.51
100011,5/16/2025,84.76
100012,5/16/2025,79.02
100013,5/16/2025,75.35
100014,5/16/2025,42.38
100015,5/16/2025,31.48
100016,5/16/2025,68.74
100017,5/16/2025,79.77
100018,5/16/2025,106.11
100019,5/16/2025,54.39
100020,5/16/2025,45.07
100021,5/16/2025,81.27
100022,5/16/2025,39.21
100023,5/16/2025,103.31
100024,5/16/2025,79.87
100025,5/16/2025,55.87
100026,5/16/2025,79.8
100027,5/16/2025,79.29
100028,5/16/2025,23.25
100029,5/16/2025,83.25
100030,5/16/2025,51.81
100031,5/16/2025,77.16
100032,5/16/2025,37.84
100033,5/16/2025,95.21
100034,5/16/2025,45.08
100035,5/16/2025,13.76
100036,5/16/2025,100.45
100037,5/16/2025,24.37
100038,5/16/2025,45.59
100039,5/16/2025,105.21
100040,5/16/2025,85.59
100041,5/16/2025,60.49
100042,5/16/2025,71.43
100043,5/16/2025,54.4
100044,5/16/2025,35.47
100045,5/16/2025,45.26
100046,5/16/2025,65.38
100047,5/16/2025,71.53
100048,5/16/2025,80.98
100049,5/16/2025,81.98
100050,5/16/2025,22.64
100051,5/16/2025,49.78
100052,5/16/2025,21.27
100053,5/16/2025,56.55
100054,5/16/2025,46.35
100055,5/16/2025,96.98
100056,5/16/2025,48.82
100057,5/16/2025,26.59
100058,5/16/2025,28.57
100059,5/16/2025,80.83
100060,5/16/2025,66.72
100061,5/16/2025,20.57
100062,5/16/2025,21.09
100063,5/16/2025,70.34
100064,5/16/2025,19.38
100065,5/16/2025,87.48
100066,5/16/2025,73.08
100067,5/16/2025,19.07
100068,5/16/2025,20.1
100069,5/16/2025,100.92
100070,5/16/2025,40.68
100071,5/16/2025,49.42
100072,5/16/2025,81.89
100073,5/16/2025,92.67
100074,5/16/2025,98.62
100075,5/16/2025,83.48
100076,5/16/2025,44.02
100077,5/16/2025,22.53
100078,5/16/2025,80.37
100079,5/16/2025,57.26
100080,5/16/2025,54.62
100081,5/16/2025,96.58
100082,5/16/2025,24.81
100083,5/16/2025,60.43
100084,5/16/2025,17.04
100085,5/16/2025,56.33
100086,5/16/2025,20.96
100087,5/16/2025,25.71
100088,5/16/2025,25.49
100089,5/16/2025,70.51
100090,5/16/2025,81.4
100091,5/16/2025,57.46
100092,5/16/2025,103.58
100093,5/16/2025,50.04
100094,5/16/2025,33.68
100095,5/16/2025,93.84
100096,5/16/2025,30
100097,5/16/2025,90.46
100098,5/16/2025,16.61
100099,5/16/2025,86.74
100100,5/16/2025,19.69
100101,5/16/2025,96.02
100102,5/16/2025,58.47
100103,5/16/2025,84.65
100104,5/16/2025,19.61
100105,5/16/2025,62.34
100106,5/16/2025,106.67
100107,5/16/2025,59.93
100108,5/16/2025,62.67
100109,5/16/2025,74.77
100110,5/16/2025,52.84
100111,5/16/2025,71.41
100112,5/16/2025,56.7
100113,5/16/2025,95.29
100114,5/16/2025,18.58
100115,5/16/2025,42.41
100116,5/16/2025,89.6
100117,5/16/2025,91.41
100118,5/16/2025,58.19
100119,5/16/2025,59.29
100000,5/17/2025,24.97
100001,5/17/2025,74.67
100002,5/17/2025,18.25
100003,5/17/2025,38.96
100004,5/17/2025,89.16
100005,5/17/2025,14.72
100006,5/17/2025,83.85
100007,5/17/2025,36.48
100008,5/17/2025,25.17
100009,5/17/2025,63.94
100010,5/17/2025,73.11
100011,5/17/2025,97.96
100012,5/17/2025,84.63
100013,5/17/2025,86.42
100014,5/17/2025,34.39
100015,5/17/2025,31.27
100016,5/17/2025,67.46
100017,5/17/2025,71.51
100018,5/17/2025,92.34
100019,5/17/2025,48.68
100020,5/17/2025,48.61
100021,5/17/2025,82.69
100022,5/17/2025,42.28
100023,5/17/2025,86.43
100024,5/17/2025,96.7
100025,5/17/2025,49.22
100026,5/17/2025,75.89
100027,5/17/2025,70.51
100028,5/17/2025,24.93
100029,5/17/2025,93.87
100030,5/17/2025,52.46
100031,5/17/2025,74.22
100032,5/17/2025,43.05
100033,5/17/2025,92.36
100034,5/17/2025,44.15
100035,5/17/2025,17.32
100036,5/17/2025,81.64
100037,5/17/2025,21.81
100038,5/17/2025,45.76
100039,5/17/2025,91.44
100040,5/17/2025,96.72
100041,5/17/2025,60.51
100042,5/17/2025,63.11
100043,5/17/2025,58.22
100044,5/17/2025,38.02
100045,5/17/2025,46.1
100046,5/17/2025,65.48
100047,5/17/2025,71.31
100048,5/17/2025,70.58
100049,5/17/2025,83.18
100050,5/17/2025,21.43
100051,5/17/2025,60.8
100052,5/17/2025,19.26
100053,5/17/2025,67.39
100054,5/17/2025,47.09
100055,5/17/2025,96.52
100056,5/17/2025,46.81
100057,5/17/2025,26.02
100058,5/17/2025,28.81
100059,5/17/2025,82.94
100060,5/17/2025,67.99
100061,5/17/2025,20.83
100062,5/17/2025,19.01
100063,5/17/2025,80.56
100064,5/17/2025,21.27
100065,5/17/2025,89.03
100066,5/17/2025,72.81
100067,5/17/2025,19.27
100068,5/17/2025,19.57
100069,5/17/2025,100.97
100070,5/17/2025,44.82
100071,5/17/2025,41.86
100072,5/17/2025,81.81
100073,5/17/2025,82.73
100074,5/17/2025,98.36
100075,5/17/2025,72.5
100076,5/17/2025,49.3
100077,5/17/2025,20.5
100078,5/17/2025,78.13
100079,5/17/2025,53.27
100080,5/17/2025,44.33
100081,5/17/2025,87.27
100082,5/17/2025,23.72
100083,5/17/2025,56.87
100084,5/17/2025,14.74
100085,5/17/2025,56.14
100086,5/17/2025,21.08
100087,5/17/2025,26.23
100088,5/17/2025,21.49
100089,5/17/2025,68.08
100090,5/17/2025,68.71
100091,5/17/2025,58.81
100092,5/17/2025,106.14
100093,5/17/2025,41.5
100094,5/17/2025,38.3
100095,5/17/2025,89.23
100096,5/17/2025,34.88
100097,5/17/2025,95.89
100098,5/17/2025,13.66
100099,5/17/2025,90.78
100100,5/17/2025,18.29
100101,5/17/2025,79.13
100102,5/17/2025,56.12
100103,5/17/2025,85.32
100104,5/17/2025,18.5
100105,5/17/2025,58.93
100106,5/17/2025,86.01
100107,5/17/2025,58.98
100108,5/17/2025,70.03
100109,5/17/2025,77.86
100110,5/17/2025,48.28
100111,5/17/2025,60.95
100112,5/17/2025,56.66
100113,5/17/2025,92.43
100114,5/17/2025,19.36
100115,5/17/2025,33.36
